"","autoctr","StockCode","sciname","ReproducRefNo","ReproMode","Fertilization","MatingSystem","MonogamyType","MatingRefNo","MatingQuality","Spawning","BatchSpawner","SpawnModRef","RepGuild1","RepGuild2","ParentalCare","ParentalCareQ","ParentalCareRef","RepAquarium","RepAquaRef","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","AddInfos","TS","SpecCode"
"19",6140,13429,"Neoarius coatesi",9233,"dioecism","external",NA,NA,NA,NA,"Throughout the year, but peaking once",0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,108,"1995-05-18T00:00:00.000Z",NA,"1995-05-18T00:00:00.000Z",NA,NA,"Mouthbrooder.",NA,13121
"20",6849,17948,"Neoarius graeffei",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters","none","1",85456,NA,NA,2,"2010-11-01T00:00:00.000Z",NA,"2010-11-01T00:00:00.000Z",NA,NA,"Nest is constructed among gravel where eggs are deposited forming a mound (Ref. 205).  The only species among oral incubating Ariidae exhibiting no parental care (Ref. 205).",NA,22590
"21",5212,10721,"Neoarius taylori",6868,"dioecism",NA,NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,10,"1998-03-10T00:00:00.000Z",NA,"1998-03-10T00:00:00.000Z",NA,NA,NA,NA,10400
"22",6142,13435,"Neoarius utarus",9233,"dioecism","external",NA,NA,NA,NA,"Throughout the year, but peaking once",0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,108,"1995-05-18T00:00:00.000Z",10,"1996-11-20T00:00:00.000Z",NA,NA,"Mouthbrooders. Ovary or brood mass contains 15 to 75 ripe eggs (Ref. 2847).",NA,13127
"23",6139,13426,"Neoarius velutinus",9233,"dioecism","external",NA,NA,NA,NA,"Throughout the year, but peaking once",0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,108,"1995-05-17T00:00:00.000Z",10,"1996-11-20T00:00:00.000Z",NA,NA,"Observations though on mouthbrooding are lacking. Ovary contains 25 to 90 ripe eggs (Ref. 2847).",NA,13118
"24",5148,10543,"Netuma thalassina",9987,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,10,"1996-04-13T00:00:00.000Z",NA,"1996-04-13T00:00:00.000Z",NA,NA,"Incubates eggs in the mouth. The fry continue to take refuge in the mouths of the male fish for the first 2 months and once they leave, the males start to eat avidly and may consume their ouwn young.",NA,10220
"25",832,962,"Notarius bonillai",6868,"dioecism",NA,NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,10,"1998-03-10T00:00:00.000Z",NA,"1998-03-10T00:00:00.000Z",NA,NA,NA,NA,946
"26",12273,1317,"Osteogeneiosus militaris",NA,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2017-09-19T00:00:00.000Z",NA,"2017-09-19T00:00:00.000Z",NA,NA,NA,NA,1299
"27",12271,1304,"Plicofollis dussumieri",NA,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2017-09-19T00:00:00.000Z",NA,"2017-09-19T00:00:00.000Z",NA,NA,NA,NA,1287
"28",12269,1315,"Plicofollis tenuispinis",NA,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2017-09-07T00:00:00.000Z",NA,"2017-09-07T00:00:00.000Z",NA,NA,NA,NA,1297
"29",8886,44978,"Potamarius izabalensis",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders","paternal","1",205,NA,NA,2,"2010-11-01T00:00:00.000Z",NA,"2010-11-01T00:00:00.000Z",NA,NA,"Males carry the eggs in their mouth (Ref. 205).",NA,54274
"30",8622,43224,"Potamarius nelsoni",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders","paternal","1",205,NA,NA,2,"2010-11-01T00:00:00.000Z",NA,"2010-11-01T00:00:00.000Z",NA,NA,"Males carry the eggs in their mouth (Ref. 205).",NA,51770
"31",834,964,"Sciades couma",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders","paternal","1",35381,NA,NA,2,"2004-08-25T00:00:00.000Z",2,"2016-06-02T00:00:00.000Z",NA,NA,"Distinct pairing. Mouth brooding may be employed (Ref. 205).",NA,948
"32",836,967,"Sciades herzbergii",10652,"dioecism","external",NA,NA,NA,NA,"Two seasonal peaks per year",0,10652,"bearers","external brooders","paternal","1",10652,NA,NA,113,"1996-01-31T00:00:00.000Z",2,"2011-03-10T00:00:00.000Z",66,"1996-01-31T00:00:00.000Z","Females reach maturity at a younger age than males and grow faster. The male incubates 28-40 eggs in the mouth and 200-400 eggs that are fixed in a glutinous mass on its head. Incubation takes 10-12 days. After 50-60 days fully functional young (6-6.5 cm TL) are released.",NA,951
"33",837,968,"Sciades parkeri",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2004-08-25T00:00:00.000Z",NA,"2004-08-25T00:00:00.000Z",NA,NA,"Distinct pairing. May employ mouth booding as parenting strategy (Ref. 205).",NA,952
"34",838,971,"Sciades proops",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2004-08-25T00:00:00.000Z",NA,"2004-08-25T00:00:00.000Z",NA,NA,"Pairing involved in reproduction. Mouth brooding may be employed (Ref. 205).",NA,955
"35",983,1311,"Sciades sona",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2004-08-25T00:00:00.000Z",NA,"2004-08-25T00:00:00.000Z",NA,NA,"Distinct pairing. Mouth brooding may be employed as a parenting strategy (Ref. 205).",NA,1294
