"","autoctr","StockCode","sciname","ReproducRefNo","ReproMode","Fertilization","MatingSystem","MonogamyType","MatingRefNo","MatingQuality","Spawning","BatchSpawner","SpawnModRef","RepGuild1","RepGuild2","ParentalCare","ParentalCareQ","ParentalCareRef","RepAquarium","RepAquaRef","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","AddInfos","TS","SpecCode"
"336",8131,39499,"Crenicichla niederleinii",26487,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,1,"1998-04-30T00:00:00.000Z",NA,"1998-04-30T00:00:00.000Z",NA,NA,NA,NA,46895
"337",8662,43470,"Crenicichla notophthalmus",13371,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","clutch tenders",NA,NA,NA,NA,NA,1,"2000-03-03T00:00:00.000Z",NA,"2000-03-03T00:00:00.000Z",NA,NA,"Eggs are deposited in caves; females tend the eggs, male defend the territory (Ref. 13371).",NA,52205
"338",8132,39503,"Crenicichla percna",26487,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,1,"1998-04-30T00:00:00.000Z",NA,"1998-04-30T00:00:00.000Z",NA,NA,NA,NA,46903
"339",8133,39505,"Crenicichla phaiospilus",26487,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,1,"1998-04-30T00:00:00.000Z",NA,"1998-04-30T00:00:00.000Z",NA,NA,NA,NA,46904
"340",8134,39507,"Crenicichla prenda",26487,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,1,"1998-04-30T00:00:00.000Z",NA,"1998-04-30T00:00:00.000Z",NA,NA,NA,NA,46906
"341",7551,20854,"Crenicichla proteus",26487,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,1,"1998-04-30T00:00:00.000Z",NA,"1998-04-30T00:00:00.000Z",NA,NA,NA,NA,26685
"342",8136,39510,"Crenicichla regani",26487,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,1,"1998-04-30T00:00:00.000Z",NA,"1998-04-30T00:00:00.000Z",NA,NA,NA,NA,46910
"343",7403,20332,"Crenicichla reticulata",26487,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,1,"1998-04-30T00:00:00.000Z",NA,"1998-04-30T00:00:00.000Z",NA,NA,NA,NA,25779
"344",7976,39163,"Crenicichla rosemariae",26487,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,1,"1998-04-30T00:00:00.000Z",NA,"1998-04-30T00:00:00.000Z",NA,NA,NA,NA,46476
"345",5816,12639,"Crenicichla saxatilis",26487,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,1,"1998-04-30T00:00:00.000Z",NA,"1998-04-30T00:00:00.000Z",NA,NA,NA,NA,12312
"346",8137,39512,"Crenicichla scottii",26487,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,1,"1998-04-30T00:00:00.000Z",NA,"1998-04-30T00:00:00.000Z",NA,NA,NA,NA,46911
