"","autoctr","StockCode","sciname","ReproducRefNo","ReproMode","Fertilization","MatingSystem","MonogamyType","MatingRefNo","MatingQuality","Spawning","BatchSpawner","SpawnModRef","RepGuild1","RepGuild2","ParentalCare","ParentalCareQ","ParentalCareRef","RepAquarium","RepAquaRef","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","AddInfos","TS","SpecCode"
"27",5721,12405,"Parosphromenus filamentosus",2060,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,1057,"2003-07-01T00:00:00.000Z",NA,"2003-07-01T00:00:00.000Z",NA,NA,"Male builds bubble nest. ",NA,12079
"28",6641,14923,"Parosphromenus paludicola",41595,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,2,"2002-04-08T00:00:00.000Z",NA,"2002-04-08T00:00:00.000Z",NA,NA,"Eggs shrink to the bottom and were then collected by one or both parents and were embedded among the foam bubbles in the nest (Ref. 41595).",NA,15898
"29",6642,14924,"Parosphromenus parvulus",2060,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,1057,"2003-07-01T00:00:00.000Z",NA,"2003-07-01T00:00:00.000Z",NA,NA,NA,NA,15899
"30",5519,11553,"Pseudosphromenus cupanus",6028,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,10,"1994-06-21T00:00:00.000Z",NA,"1998-08-20T00:00:00.000Z",10,"1996-03-16T00:00:00.000Z","Builds a bubble nest. Male gathers the eggs in his mouth and spits them into the nest, sometimes female assists. Eggs hatch in a day. Male guards the nest and the young until they reach the free-swimming stage, which is about a week later. Male has also been observed building more than one bubble nest and moves the eggs from one nest to the other (Ref. 6028).",NA,11228
"31",9007,45813,"Pseudosphromenus dayi",13371,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,"High",7020,1,"2000-03-03T00:00:00.000Z",97,"2006-08-04T00:00:00.000Z",NA,NA,"Male builds bubble nest; both parents guard and tend the nest, returning eggs and larvae that have falling off (Ref. 13371).",NA,55308
"32",7279,19900,"Sphaerichthys acrostoma",2060,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,1057,"2003-07-01T00:00:00.000Z",NA,"2003-07-01T00:00:00.000Z",NA,NA,"Female mouth brooder. ",NA,25139
"33",5522,11560,"Sphaerichthys osphromenoides",1672,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,"Never/Rarely",7020,339,"1998-08-20T00:00:00.000Z",97,"2006-08-04T00:00:00.000Z",NA,NA,"Lays 20-40 eggs. Female incubates eggs in mouth for 2 weeks.",NA,11235
"34",7280,19901,"Sphaerichthys selatanensis",2060,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,1057,"2003-07-01T00:00:00.000Z",NA,"2003-07-01T00:00:00.000Z",NA,NA,"Male mouth brooder. ",NA,25140
"35",5515,11526,"Trichogaster chuna",1672,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,"Medium",7020,339,"1998-08-20T00:00:00.000Z",97,"2006-08-04T00:00:00.000Z",NA,NA,"Male guards the bubble-nest.",NA,11201
"36",2408,4994,"Trichogaster fasciata",1672,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,"Medium",7020,339,"1998-08-20T00:00:00.000Z",97,"2006-05-22T00:00:00.000Z",NA,NA,"Male defends the bubble-nest. Lays 500-600 eggs.",NA,4770
"37",2410,4996,"Trichogaster labiosa",1672,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,"Medium",1672,339,"1998-08-20T00:00:00.000Z",97,"2006-05-23T00:00:00.000Z",NA,NA,"Builds bubble-nest. Lays 500-600 eggs.",NA,4772
"38",2412,4998,"Trichogaster lalius",1672,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters","paternal","1",1672,"Medium",7020,339,"1998-08-20T00:00:00.000Z",2,"2014-11-18T00:00:00.000Z",NA,NA,"Male guards the floating bubble-nest where the eggs are laid, about 600 in number. Hatching takes place in 12 to 24 hours while the male parent continues to protect the nest.  In about three days, the developing larvae become free-swimming and leave the nest.  In an aquarium setting, it is about this same period that the male should be removed from the tank to lessen the probability of him eating the young (Ref. 1672).",NA,4774
"39",2380,4953,"Trichogaster microlepis",1672,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,"Medium",1672,339,"1998-08-20T00:00:00.000Z",97,"2006-05-23T00:00:00.000Z",NA,NA,"Builds bubble nest. Produces 500-1000 eggs.",NA,4729
"40",2335,4892,"Trichopodus leerii",1672,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,"Medium",7020,339,"1998-08-20T00:00:00.000Z",97,"2006-05-22T00:00:00.000Z",NA,NA,"Male guards the bubble nest.",NA,4674
"41",322,515,"Trichopodus pectoralis",6459,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,"Medium",6459,10,"1995-08-09T00:00:00.000Z",97,"2006-05-23T00:00:00.000Z",NA,NA,"Male creates a bubble-nest at the surface. After fertilization, male, with the use of its mouth, collects the eggs and pushes them up into the bubble-nest (Ref. 6459).  Male guards the eggs until hatching (Ref. 9987); both parents care for the young (Ref. 6028).",NA,499
"42",2336,4893,"Trichopodus trichopterus",6028,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,"Medium",7020,10,"1996-09-30T00:00:00.000Z",97,"2006-05-22T00:00:00.000Z",NA,NA,"Builds bubble nest, usually at the surface. Male usually gathers the eggs, places them in the nest and guards them until they reach free-swimming stage (Ref. 6028). Male drives the female away (Ref. 1672).",NA,4675
"43",5722,12408,"Trichopsis pumila",1672,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,339,"1998-08-20T00:00:00.000Z",10,"1998-08-20T00:00:00.000Z",NA,NA,"Male guards small bubble nest. Produces 100-170 eggs.",NA,12082
"44",2379,4952,"Trichopsis vittata",1672,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,339,"1998-08-20T00:00:00.000Z",10,"1998-08-20T00:00:00.000Z",NA,NA,"Builds a bubble nest.",NA,4728
