"","autoctr","StockCode","sciname","ReproducRefNo","ReproMode","Fertilization","MatingSystem","MonogamyType","MatingRefNo","MatingQuality","Spawning","BatchSpawner","SpawnModRef","RepGuild1","RepGuild2","ParentalCare","ParentalCareQ","ParentalCareRef","RepAquarium","RepAquaRef","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","AddInfos","TS","SpecCode"
"19",1162,1888,"Apogon imberbis",7471,"dioecism","internal (oviduct)",NA,NA,NA,NA,"one clear seasonal peak per year",0,4738,"bearers","external brooders","paternal","1",4738,NA,NA,2,"1991-04-11T00:00:00.000Z",2,"2010-11-01T00:00:00.000Z",NA,NA,"Males incubate eggs in buccal cavity (Ref. 205, 4738, 74407).  Embryos do not feed externally in the buccal cavity.  Distinct pairing during courtship and spawning (Ref. 205).  Internal fertilization and paternal care by mouthbrooding is found to be a rare combination of reproductive strategy (Ref. 74407).  Also Ref. 240.",NA,1693
"20",9546,49796,"Apogon indicus",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2003-05-21T00:00:00.000Z",2,"2003-05-21T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,60052
"21",1914,3720,"Apogon lachneri",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2003-05-21T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,3524
"22",9416,49185,"Apogon lativittatus",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2003-05-22T00:00:00.000Z",2,"2003-05-22T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,59452
"23",1915,3721,"Apogon leptocaulus",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2003-05-22T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,3525
"24",1916,3722,"Apogon maculatus",39366,"dioecism","external",NA,NA,NA,NA,"throughout the year, but peaking once",0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2003-05-22T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Spawning may occur throughout the year (Ref. 39366). Distinct pairing during courtship and spawning (Ref. 205).",NA,3526
"25",9548,49798,"Apogon marquesensis",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2003-05-22T00:00:00.000Z",2,"2003-05-22T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,60054
"26",5867,12738,"Apogon mosavi",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2003-05-22T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,12409
"27",7049,18796,"Apogon nitidus",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2003-05-22T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,23651
"28",7337,20127,"Apogon pacificus",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2001-07-12T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,25508
"29",1917,3723,"Apogon phenax",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2003-05-22T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,3527
"30",1918,3724,"Apogon pillionatus",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2003-05-22T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,3528
"31",1919,3725,"Apogon planifrons",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2003-05-22T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,3529
"32",1920,3726,"Apogon pseudomaculatus",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2007-09-07T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240, 39366, 58874). Distinct pairing during courtship and spawning (Ref. 205).",NA,3530
"33",1921,3727,"Apogon quadrisquamatus",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2003-05-22T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,3531
"34",8013,39257,"Apogon retrosella",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2003-05-22T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,46598
"35",8516,42090,"Apogon robbyi",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2003-05-22T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,50361
