"","autoctr","StockCode","sciname","ReproducRefNo","ReproMode","Fertilization","MatingSystem","MonogamyType","MatingRefNo","MatingQuality","Spawning","BatchSpawner","SpawnModRef","RepGuild1","RepGuild2","ParentalCare","ParentalCareQ","ParentalCareRef","RepAquarium","RepAquaRef","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","AddInfos","TS","SpecCode"
"1",2117,4377,"Cyclopteropsis mcalpini",4701,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","clutch tenders",NA,NA,NA,NA,NA,1,"1999-03-12T00:00:00.000Z",NA,"1999-03-12T00:00:00.000Z",NA,NA,"A clutch of 60-70 eggs of 5mm diameter is deposited in shells or protected areas. Parental care possible (Ref. 4701).",NA,4181
"2",51,72,"Cyclopterus lumpus",4701,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","clutch tenders","paternal","1",9900,NA,NA,2,"1991-02-05T00:00:00.000Z",2,"2010-11-22T00:00:00.000Z",10,"1995-12-09T00:00:00.000Z","Eggs are laid in large numbers on stony bottoms (Ref. 9900). Male guards egg-mass aggressively.",NA,62
