,Species,Fertilization,Reproduction,ParentalCare,AddInfo,Mouthbrooder
48,Apogonichthyoides heptastygma,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
49,Apogonichthyoides maculipinnis,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
50,Apogonichthyoides melas,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
51,Apogonichthyoides niger,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
52,Apogonichthyoides nigripinnis,external,external brooders,paternal,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
53,Apogonichthyoides opercularis,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
54,Apogonichthyoides pseudotaeniatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
55,Apogonichthyoides regani,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
56,Apogonichthyoides taeniatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
57,Apogonichthyoides timorensis,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
58,Apogonichthyoides umbratilis,external,external brooders,NA,Mouthbrooders. Distinct pairing during courtship and spawning (Ref. 205).,Y
59,Apogonichthyoides uninotatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
60,Apogonichthys landoni,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
61,Apogonichthys ocellatus,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
62,Apogonichthys perdix,external,external brooders,paternal,Displays obligate monogamy where a one-to-one pair is established irrespective of resource abundance (Ref. 52884).,Y
63,Archamia bleekeri,external,external brooders,NA,Are mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
64,Astrapogon alutus,external,external brooders,NA,Are mouthbrooders (Ref. 240). DDistinct pairing during courtship and spawning (Ref. 205).,Y
65,Astrapogon puncticulatus,external,external brooders,NA,"Are mouthbrooders (Ref. 240, 58877). Distinct pairing during courtship and spawning (Ref. 205).",Y
66,Astrapogon stellatus,external,external brooders,NA,"Are mouthbrooders (Ref. 240, 58876). Distinct pairing during courtship and spawning (Ref. 205).",Y
67,Cercamia cladara,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
68,Cercamia eremia,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
69,Cheilodipterus alleni,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
70,Cheilodipterus arabicus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
71,Cheilodipterus artus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
72,Cheilodipterus intermedius,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
73,Cheilodipterus isostigmus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
74,Cheilodipterus lachneri,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
75,Cheilodipterus macrodon,external,external brooders,paternal,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).  Displays obligate monogamy where a one-to-one pair is established irrespective of resource abundance (Ref. 52884).,Y
76,Cheilodipterus nigrotaeniatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
77,Cheilodipterus novemstriatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
78,Cheilodipterus parazonatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
79,Cheilodipterus persicus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
80,Cheilodipterus pygmaios,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
81,Cheilodipterus quinquelineatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
82,Cheilodipterus singapurensis,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
83,Cheilodipterus subulatus,external,external brooders,NA,Mouthbrooders. Distinct pairing during courtship and spawning (Ref. 205).,Y
84,Cheilodipterus zonatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
85,Fibramia amboinensis,external,external brooders,paternal,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
86,Fibramia lateralis,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
87,Fibramia thermalis,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
88,Foa albimaculosa,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
89,Foa brachygramma,external,external brooders,NA,Are mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
90,Foa fo,external,external brooders,NA,Are mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
91,Foa hyalina,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
92,Foa madagascariensis,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
93,Foa nivosa,external,external brooders,NA,Mouthbrooders. Distinct pairing during courtship and spawning (Ref. 205).,Y
94,Fowleria aurita,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
95,Fowleria flammea,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
96,Fowleria isostigma,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
97,Fowleria marmorata,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
98,Fowleria punctulata,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
99,Fowleria vaiulae,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
100,Fowleria variegata,external,NA,NA,CDistinct pairing during courtship and spawning (Ref. 205).,?
101,Glossamia aprion,external,external brooders,paternal,The male is the mouthbrooder (Ref. 2060). Distinct pairing during courtship and spawning (Ref. 205). Also Ref. 240.,Y
102,Glossamia beauforti,external,external brooders,NA,Are mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
103,Glossamia gjellerupi,external,external brooders,NA,Are mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
104,Glossamia narindica,external,external brooders,NA,Are mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
105,Glossamia sandei,external,external brooders,NA,Are mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
106,Glossamia trifasciata,external,external brooders,NA,Are mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
107,Glossamia wichmanni,external,external brooders,NA,Are mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
108,Gymnapogon africanus,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
