,Species,Fertilization,Reproduction,ParentalCare,AddInfo,Mouthbrooder
204,Ostorhinchus rueppellii,external,external brooders,paternal,Are mouthbrooders. The male is usually responsible for incubating the eggs (Ref. 240). Males brood from 50 to 230 fertilised eggs for about two weeks until hatching (Ref. 35252). Distinct pairing during courtship and spawning (Ref. 205).,Y
205,Ostorhinchus sealei,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
206,Ostorhinchus selas,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
207,Ostorhinchus semilineatus,external,external brooders,paternal,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).  Displays obligate monogamy where a one-to-one pair is established irrespective of resource abundance (Ref. 52884).,Y
208,Ostorhinchus septemstriatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
209,Ostorhinchus sinus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
210,Ostorhinchus taeniophorus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
211,Ostorhinchus victoriae,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
212,Ostorhinchus wassinki,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
213,Ostorhinchus wilsoni,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
214,Paroncheilus affinis,external,external brooders,biparental,"Biparental mouthbrooders (Ref. 240, 58875). Spawning may occur throughout the year (Ref. 39366). Distinct pairing during courtship and spawning (Ref. 205).  This is the only species in the genus <i>Apogon</i> with mouthbrooding done by males and females (Ref. 85456).",Y
215,Paxton concilians,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
216,Phaeoptyx conklini,external,external brooders,NA,"Are mouthbrooders (Ref. 240, 58878). Spawning may occur throughout the year (Ref. 39366). Distinct pairing during courtship and spawning (Ref. 205).",Y
217,Phaeoptyx pigmentaria,external,external brooders,NA,"Mouthbrooders (Ref. 240, 58878). Distinct pairing during courtship and spawning (Ref. 205).",Y
218,Phaeoptyx xenus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
219,Pristiapogon abrogramma,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
220,Pristiapogon exostigma,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
221,Pristiapogon fraenatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
222,Pristiapogon kallopterus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
223,Pristiapogon taeniopterus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
224,Pristicon rhodopterus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
225,Pristicon rufus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
226,Pristicon trimaculatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
227,Pseudamia amblyuroptera,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
228,Pseudamia gelatinosa,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
229,Pseudamia hayashii,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
230,Pseudamia nigra,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
231,Pseudamia rubra,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
232,Pseudamia tarri,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
233,Pseudamia zonata,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
234,Pseudamiops diaphanes,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
235,Pseudamiops gracilicauda,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
236,Pseudamiops pellucidus,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
237,Pseudamiops phasma,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
238,Pterapogon kauderni,external,external brooders,paternal,The male takes the eggs into its mouth where these and the larvae remain until young fish of about 8mm SL are released. Distinct pairing during courtship and spawning (Ref. 205). Also Ref. 240.,Y
239,Rhabdamia gracilis,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
240,Rhabdamia mentalis,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
241,Rhabdamia nigrimentum,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
242,Rhabdamia spilota,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
243,Siphamia argentea,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
244,Siphamia cephalotes,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205). Adults in South Australian waters have been observed brooding eggs in January (Ref. 33616).,Y
245,Siphamia corallicola,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
246,Siphamia cuneiceps,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
247,Siphamia elongata,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
248,Siphamia fistulosa,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
249,Siphamia fuscolineata,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
250,Siphamia guttulata,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
251,Siphamia jebbi,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
252,Siphamia majimai,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
253,Siphamia mossambica,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
254,Siphamia roseigaster,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
255,Siphamia tubifer,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
256,Siphamia tubulata,external,external brooders,NA,Distinct pairing during courtship and spawning (Ref. 205).  Eggs are incubated orally (Ref. 205).,Y
257,Sphaeramia nematoptera,external,external brooders,NA,Are mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
258,Sphaeramia orbicularis,external,external brooders,NA,"Courtship and spawning occur on a semi-lunar cycle, shortly before full and new moons (Ref. 37816). Distinct pairing during courtship and spawning (Ref. 205). Are mouthbrooders (Ref. 240). Males incubate up to 12,000 eggs for a period of about 8 days (Ref. 37816). After the pelagic larval phase, juveniles settle and grow at a rate of 3 to 6 mm per month (Ref. 37816).",Y
259,Taeniamia ataenia,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
260,Taeniamia biguttata,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
261,Taeniamia bilineata,external,external brooders,NA,Are mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
262,Taeniamia buruensis,external,external brooders,NA,Are mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
263,Taeniamia fucata,external,external brooders,NA,Are mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
264,Taeniamia leai,external,external brooders,NA,Are mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
265,Taeniamia lineolata,external,external brooders,NA,Are mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
266,Taeniamia macroptera,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
267,Taeniamia mozambiquensis,external,external brooders,NA,Are mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
268,Taeniamia pallida,external,external brooders,NA,Are mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
269,Taeniamia zosterophora,external,external brooders,NA,Are mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
270,Vincentia badia,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
271,Vincentia conspersa,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
272,Vincentia macrocauda,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
273,Vincentia novaehollandiae,external,external brooders,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
274,Vincentia punctata,external,external brooders,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
275,Zapogon evermanni,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
276,Zapogon isus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
277,Zoramia fragilis,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
278,Zoramia gilberti,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
279,Zoramia leptacantha,external,external brooders,paternal,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).  Displays obligate monogamy where a one-to-one pair is established irrespective of resource abundance (Ref. 52884).,Y
280,Zoramia perlita,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
281,Zoramia viridiventer,external,external brooders,NA,Mouthbrooders. Distinct pairing during courtship and spawning (Ref. 205).,Y
