,Species,Fertilization,Reproduction,ParentalCare,AddInfo,Mouthbrooder
1,Cyclopteropsis mcalpini,external,clutch tenders,NA,A clutch of 60-70 eggs of 5mm diameter is deposited in shells or protected areas. Parental care possible (Ref. 4701).,?
2,Cyclopterus lumpus,external,clutch tenders,paternal,Eggs are laid in large numbers on stony bottoms (Ref. 9900). Male guards egg-mass aggressively.,?
